Area,Year,Temperature Change
Western Europe,1961,0.537
Western Europe,1961,-0.988
Western Europe,1961,-0.221
Western Europe,1961,2.982
Western Europe,1961,1.237
Western Europe,1961,-0.315
Western Europe,1961,-0.377
Australia and New Zealand,1961,0.27
Australia and New Zealand,1961,-0.013
Australia and New Zealand,1961,0.191
Australia and New Zealand,1961,0.614
Australia and New Zealand,1961,-0.162
Australia and New Zealand,1961,-0.157
Australia and New Zealand,1961,-0.62
Australia and New Zealand,1961,-0.657
Australia and New Zealand,1961,0.885
Australia and New Zealand,1961,1.225
Australia and New Zealand,1961,0.239
Australia and New Zealand,1961,0.491
Antarctica,1962,-1.597
Antarctica,1962,-1.047
Antarctica,1962,0.128
Antarctica,1962,-1.089
Antarctica,1962,-1.448
Antarctica,1962,3.378
Antarctica,1962,-0.316
Antarctica,1962,-0.649
Antarctica,1962,0.851
Antarctica,1962,0.123
Antarctica,1962,0.222
Antarctica,1962,-1.976
South Africa,1962,0.235
South Africa,1962,0.038
South Africa,1962,0.188
South Africa,1962,-0.093
South Africa,1962,0.007
South Africa,1962,0.408
South Africa,1962,0.678
South Africa,1962,0.7
South Africa,1962,0.665
South Africa,1962,0.852
South Africa,1962,-0.216
South Africa,1962,0.829
Africa,1962,-0.337
Africa,1962,-0.499
Africa,1962,0.193
Africa,1962,-0.003
Africa,1962,-0.224
Africa,1962,-0.135
Africa,1962,0.19
Africa,1962,-0.118
Africa,1962,0.088
Africa,1962,0.268
Africa,1962,0.504
Africa,1962,0.164
Eastern Africa,1962,-0.509
Eastern Africa,1962,-0.164
Eastern Africa,1962,-0.136
Eastern Africa,1962,0.149
Eastern Africa,1962,-0.74
Eastern Africa,1962,0.132
Eastern Africa,1962,0.081
Eastern Africa,1962,0.143
Eastern Africa,1962,0.008
Eastern Africa,1962,-0.051
Eastern Africa,1962,0.112
Eastern Africa,1962,-0.036
Middle Africa,1962,-0.689
Middle Africa,1962,-0.223
Middle Africa,1962,-0.075
Middle Africa,1962,-0.127
Middle Africa,1962,-0.411
Middle Africa,1962,-0.183
Middle Africa,1962,0.169
Middle Africa,1962,-0.258
Middle Africa,1962,-0.171
Middle Africa,1962,0.008
Middle Africa,1962,0.474
Middle Africa,1962,0.317
Northern Africa,1962,-0.024
Northern Africa,1962,-1.12
Northern Africa,1962,0.793
Northern Africa,1962,0.113
Northern Africa,1962,0.117
Northern Africa,1962,-0.281
Northern Africa,1962,0.298
Northern Africa,1962,-0.07
Northern Africa,1962,0.305
Northern Africa,1962,0.624
Northern Africa,1962,0.791
Northern Africa,1962,0.042
Southern Africa,1962,0.245
Southern Africa,1962,-0.001
Southern Africa,1962,0.279
Southern Africa,1962,-0.16
Southern Africa,1962,-0.124
Southern Africa,1962,0.25
Southern Africa,1962,0.448
Southern Africa,1962,0.108
Southern Africa,1962,0.551
Southern Africa,1962,0.699
Southern Africa,1962,-0.259
Southern Africa,1962,0.572
Western Africa,1962,-0.468
Western Africa,1962,-0.501
Western Africa,1962,-0.05
Western Africa,1962,-0.118
Western Africa,1962,-0.007
Western Africa,1962,-0.325
Western Africa,1962,0.065
Western Africa,1962,-0.401
Western Africa,1962,-0.052
Western Africa,1962,0.196
Western Africa,1962,0.878
Western Africa,1962,0.196
