Area,Year,Temperature Change,Standard Deviation
Western Asia,1961,-0.36,0.759
Western Asia,1961,0.229,0.572
Western Asia,1961,0.256,0.539
Western Asia,1961,-0.191,0.474
Western Asia,1961,0.327,0.568
Western Asia,1961,-1.359,0.585
Western Asia,1961,-0.378,0.653
Western Asia,1961,-0.069,0.934
Western Asia,1961,0.599,0.997
Eastern Europe,1961,1.228,1.94
Eastern Europe,1961,1.722,1.869
Eastern Europe,1961,1.789,1.375
Eastern Europe,1961,0.886,0.866
Eastern Europe,1961,1.26,0.642
Eastern Europe,1961,1.045,0.638
Eastern Europe,1961,0.011,0.539
Eastern Europe,1961,-0.098,0.453
Eastern Europe,1961,-0.194,0.576
Eastern Europe,1961,-0.255,0.86
Eastern Europe,1961,0.73,0.88
Eastern Europe,1961,0.425,1.055
Northern Europe,1961,0.992,2.461
Northern Europe,1961,3.896,2.643
Northern Europe,1961,2.8,1.93
Northern Europe,1961,0.056,0.923
Northern Europe,1961,0.274,0.868
Northern Europe,1961,1.056,0.979
Northern Europe,1961,0.134,0.914
Northern Europe,1961,-0.338,0.731
Northern Europe,1961,0.997,0.864
Northern Europe,1961,3.113,1.259
Northern Europe,1961,1.635,1.449
Northern Europe,1961,-1.839,2.186
Southern Europe,1961,-0.337,0.843
Southern Europe,1961,1.507,1.294
Southern Europe,1961,1.717,1.0
Southern Europe,1961,2.253,0.861
Southern Europe,1961,0.632,0.719
Southern Europe,1961,0.589,0.695
Southern Europe,1961,-0.094,0.453
Southern Europe,1961,0.357,0.729
Southern Europe,1961,1.146,0.889
Southern Europe,1961,0.451,0.94
Southern Europe,1961,0.54,0.862
Southern Europe,1961,0.542,0.883
Western Europe,1961,-0.07,2.053
Western Europe,1961,3.678,2.145
Western Europe,1961,2.2,1.577
Western Europe,1961,2.953,1.194
Western Europe,1961,-0.757,0.873
Western Europe,1961,0.537,1.019
Western Europe,1961,-0.988,1.099
Western Europe,1961,-0.221,0.908
Western Europe,1961,2.982,1.174
Western Europe,1961,1.237,1.45
Western Europe,1961,-0.315,1.098
Western Europe,1961,-0.377,1.828
Australia and New Zealand,1961,0.27,0.654
Australia and New Zealand,1961,-0.013,0.511
Australia and New Zealand,1961,0.191,0.514
Australia and New Zealand,1961,0.614,0.467
Australia and New Zealand,1961,-0.162,0.691
Australia and New Zealand,1961,-0.157,0.601
Australia and New Zealand,1961,-0.62,0.76
Australia and New Zealand,1961,-0.657,0.608
Australia and New Zealand,1961,0.885,0.752
Australia and New Zealand,1961,1.225,0.833
Australia and New Zealand,1961,0.239,0.631
Australia and New Zealand,1961,0.491,0.708
Antarctica,1962,-1.597,1.24
Antarctica,1962,-1.047,1.084
Antarctica,1962,0.128,1.156
Antarctica,1962,-1.089,1.868
Antarctica,1962,-1.448,1.704
Antarctica,1962,3.378,1.929
Antarctica,1962,-0.316,1.801
Antarctica,1962,-0.649,2.216
Antarctica,1962,0.851,2.058
Antarctica,1962,0.123,1.344
Antarctica,1962,0.222,1.124
Antarctica,1962,-1.976,1.161
South Africa,1962,0.235,0.637
South Africa,1962,0.038,0.583
South Africa,1962,0.188,0.625
South Africa,1962,-0.093,0.64
South Africa,1962,0.007,0.483
South Africa,1962,0.408,0.788
South Africa,1962,0.678,0.656
South Africa,1962,0.7,0.65
South Africa,1962,0.665,0.742
South Africa,1962,0.852,0.762
South Africa,1962,-0.216,0.657
South Africa,1962,0.829,0.701
Africa,1962,-0.337,0.488
Africa,1962,-0.499,0.483
Africa,1962,0.193,0.484
Africa,1962,-0.003,0.316
Africa,1962,-0.224,0.341
Africa,1962,-0.135,0.292
Africa,1962,0.19,0.313
Africa,1962,-0.118,0.303
Africa,1962,0.088,0.304
Africa,1962,0.268,0.304
Africa,1962,0.504,0.314
Africa,1962,0.164,0.353
Eastern Africa,1962,-0.509,0.345
Eastern Africa,1962,-0.164,0.338
Eastern Africa,1962,-0.136,0.363
Eastern Africa,1962,0.149,0.399
Eastern Africa,1962,-0.74,0.451
Eastern Africa,1962,0.132,0.369
Eastern Africa,1962,0.081,0.353
Eastern Africa,1962,0.143,0.349
Eastern Africa,1962,0.008,0.346
Eastern Africa,1962,-0.051,0.371
Eastern Africa,1962,0.112,0.304
Eastern Africa,1962,-0.036,0.378
Middle Africa,1962,-0.689,0.418
Middle Africa,1962,-0.223,0.506
Middle Africa,1962,-0.075,0.355
Middle Africa,1962,-0.127,0.317
Middle Africa,1962,-0.411,0.291
Middle Africa,1962,-0.183,0.26
Middle Africa,1962,0.169,0.327
Middle Africa,1962,-0.258,0.295
Middle Africa,1962,-0.171,0.33
Middle Africa,1962,0.008,0.27
Middle Africa,1962,0.474,0.301
Middle Africa,1962,0.317,0.401
Northern Africa,1962,-0.024,0.767
Northern Africa,1962,-1.12,0.804
Northern Africa,1962,0.793,0.79
Northern Africa,1962,0.113,0.395
Northern Africa,1962,0.117,0.506
Northern Africa,1962,-0.281,0.308
Northern Africa,1962,0.298,0.419
Northern Africa,1962,-0.07,0.312
Northern Africa,1962,0.305,0.368
Northern Africa,1962,0.624,0.45
Northern Africa,1962,0.791,0.624
Northern Africa,1962,0.042,0.642
Southern Africa,1962,0.245,0.706
Southern Africa,1962,-0.001,0.624
Southern Africa,1962,0.279,0.753
Southern Africa,1962,-0.16,0.617
Southern Africa,1962,-0.124,0.409
Southern Africa,1962,0.25,0.852
Southern Africa,1962,0.448,0.572
Southern Africa,1962,0.108,0.61
Southern Africa,1962,0.551,0.621
Southern Africa,1962,0.699,0.685
Southern Africa,1962,-0.259,0.585
Southern Africa,1962,0.572,0.58
Western Africa,1962,-0.468,0.915
Western Africa,1962,-0.501,0.781
Western Africa,1962,-0.05,0.701
Western Africa,1962,-0.118,0.498
Western Africa,1962,-0.007,0.425
Western Africa,1962,-0.325,0.44
Western Africa,1962,0.065,0.446
Western Africa,1962,-0.401,0.51
Western Africa,1962,-0.052,0.478
Western Africa,1962,0.196,0.424
Western Africa,1962,0.878,0.437
Western Africa,1962,0.196,0.57
Northern America,1962,-0.515,0.948
Northern America,1962,-0.845,1.621
Northern America,1962,0.481,1.087
Northern America,1962,-0.152,0.825
Northern America,1962,-0.259,0.519
Northern America,1962,0.007,0.429
Northern America,1962,-0.326,0.366
Northern America,1962,0.202,0.38
Northern America,1962,-0.163,0.602
Northern America,1962,1.171,0.936
Northern America,1962,0.813,0.627
Northern America,1962,0.91,1.326
Central America,1962,-0.712,0.595
Central America,1962,1.295,0.52
Central America,1962,-0.725,0.643
Central America,1962,-0.029,0.461
Central America,1962,-0.211,0.325
Central America,1962,-0.227,0.403
Central America,1962,0.122,0.488
Central America,1962,0.678,0.385
Central America,1962,0.296,0.403
Central America,1962,0.697,0.469
Central America,1962,0.091,0.566
Central America,1962,0.046,0.513
South America,1962,-0.154,0.263
South America,1962,-0.021,0.326
South America,1962,0.192,0.414
South America,1962,-0.109,0.418
South America,1962,-0.406,0.479
South America,1962,-0.526,0.564
South America,1962,-1.026,0.495
South America,1962,-0.038,0.39
South America,1962,0.398,0.334
South America,1962,-0.27,0.335
South America,1962,0.432,0.315
South America,1962,0.15,0.272
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Central Asia,1962,,
Eastern Asia,1962,-0.393,1.045
Eastern Asia,1962,1.039,1.725
Eastern Asia,1962,-0.361,1.077
Eastern Asia,1962,-0.622,0.683
Eastern Asia,1962,0.038,0.467
Eastern Asia,1962,-0.196,0.366
Eastern Asia,1962,0.197,0.303
Eastern Asia,1962,0.121,0.42
Eastern Asia,1962,0.339,0.482
Eastern Asia,1962,-0.044,0.524
Eastern Asia,1962,-1.282,1.088
Eastern Asia,1962,1.142,1.24
Southern Asia,1962,-0.614,0.962
Southern Asia,1962,0.711,1.265
Southern Asia,1962,0.379,0.867
Southern Asia,1962,-0.144,0.796
Southern Asia,1962,-0.12,0.556
Southern Asia,1962,-0.268,0.323
Southern Asia,1962,0.245,0.247
Southern Asia,1962,-0.228,0.244
Southern Asia,1962,-0.726,0.243
Southern Asia,1962,-0.687,0.524
Southern Asia,1962,-0.924,0.642
Southern Asia,1962,-0.17,0.705
South-Eastern Asia,1962,-0.421,0.567
South-Eastern Asia,1962,-0.475,0.456
South-Eastern Asia,1962,-0.351,0.381
South-Eastern Asia,1962,-0.162,0.349
South-Eastern Asia,1962,0.072,0.25
South-Eastern Asia,1962,-0.019,0.22
South-Eastern Asia,1962,0.156,0.2
South-Eastern Asia,1962,-0.134,0.162
South-Eastern Asia,1962,-0.078,0.143
South-Eastern Asia,1962,0.091,0.178
South-Eastern Asia,1962,0.042,0.368
South-Eastern Asia,1962,-0.319,0.465
Western Asia,1962,0.374,1.179
Western Asia,1962,0.381,1.261
Western Asia,1962,1.934,0.935
Western Asia,1962,-0.02,0.759
Western Asia,1962,0.502,0.572
Western Asia,1962,0.696,0.539
Western Asia,1962,1.225,0.474
Western Asia,1962,0.777,0.568
Western Asia,1962,0.243,0.585
Western Asia,1962,0.326,0.653
Western Asia,1962,1.475,0.934
Western Asia,1962,1.077,0.997
Eastern Europe,1962,1.812,1.94
Eastern Europe,1962,1.745,1.869
Eastern Europe,1962,1.269,1.375
Eastern Europe,1962,0.727,0.866
Eastern Europe,1962,-0.031,0.642
Eastern Europe,1962,-0.888,0.638
Eastern Europe,1962,0.168,0.539
Eastern Europe,1962,-0.135,0.453
Eastern Europe,1962,-0.433,0.576
Eastern Europe,1962,0.296,0.86
Eastern Europe,1962,-0.101,0.88
Eastern Europe,1962,-0.69,1.055
Northern Europe,1962,1.179,2.461
Northern Europe,1962,1.712,2.643
Northern Europe,1962,-4.341,1.93
Northern Europe,1962,0.837,0.923
Northern Europe,1962,-0.804,0.868
Northern Europe,1962,-1.709,0.979
Northern Europe,1962,-1.552,0.914
Northern Europe,1962,-1.613,0.731
Northern Europe,1962,-0.644,0.864
Northern Europe,1962,1.023,1.259
Northern Europe,1962,0.356,1.449
Northern Europe,1962,-1.909,2.186
Southern Europe,1962,1.17,0.843
Southern Europe,1962,-0.904,1.294
Southern Europe,1962,-0.981,1.0
Southern Europe,1962,0.443,0.861
Southern Europe,1962,0.163,0.719
Southern Europe,1962,-0.215,0.695
Southern Europe,1962,0.021,0.453
Southern Europe,1962,1.573,0.729
Southern Europe,1962,0.958,0.889
Southern Europe,1962,1.036,0.94
Southern Europe,1962,-0.661,0.862
Southern Europe,1962,-1.816,0.883
Western Europe,1962,1.805,2.053
Western Europe,1962,-0.384,2.145
Western Europe,1962,-2.937,1.577
Western Europe,1962,0.342,1.194
Western Europe,1962,-1.573,0.873
Western Europe,1962,-0.898,1.019
Western Europe,1962,-1.05,1.099
Western Europe,1962,0.39,0.908
Western Europe,1962,-0.426,1.174
Western Europe,1962,0.447,1.45
Western Europe,1962,-1.442,1.098
Western Europe,1962,-3.306,1.828
Australia and New Zealand,1962,-0.042,0.654
Australia and New Zealand,1962,-0.042,0.511
Australia and New Zealand,1962,-0.415,0.514
Australia and New Zealand,1962,-0.162,0.467
Australia and New Zealand,1962,-0.432,0.691
Australia and New Zealand,1962,1.473,0.601
Australia and New Zealand,1962,0.444,0.76
