Area,Year,Temperature Change,Standard Deviation
Australia and New Zealand,1973,0.445,0.833
Australia and New Zealand,1973,-0.088,0.631
Australia and New Zealand,1973,-0.011,0.708
Antarctica,1974,0.764,1.24
Antarctica,1974,-0.918,1.084
Antarctica,1974,-0.028,1.156
Antarctica,1974,-0.676,1.868
Antarctica,1974,-0.142,1.704
Antarctica,1974,0.747,1.929
Antarctica,1974,-0.456,1.801
Antarctica,1974,2.898,2.216
Antarctica,1974,0.406,2.058
Antarctica,1974,0.81,1.344
Antarctica,1974,-0.109,1.124
Antarctica,1974,2.531,1.161
South Africa,1974,-0.173,0.637
South Africa,1974,-0.064,0.583
South Africa,1974,-0.475,0.625
South Africa,1974,-0.118,0.64
South Africa,1974,-0.259,0.483
South Africa,1974,0.366,0.788
South Africa,1974,0.197,0.656
South Africa,1974,-0.952,0.65
South Africa,1974,-0.805,0.742
South Africa,1974,-0.012,0.762
South Africa,1974,-0.171,0.657
South Africa,1974,-0.133,0.701
Africa,1974,-0.546,0.488
Africa,1974,-0.329,0.483
Africa,1974,-0.32,0.484
Africa,1974,-0.194,0.316
Africa,1974,-0.162,0.341
Africa,1974,0.162,0.292
Africa,1974,-0.327,0.313
Africa,1974,-0.058,0.303
Africa,1974,-0.324,0.304
Africa,1974,-0.116,0.304
Africa,1974,-0.363,0.314
Africa,1974,-0.65,0.353
Eastern Africa,1974,-0.31,0.345
Eastern Africa,1974,-0.133,0.338
Eastern Africa,1974,-0.466,0.363
Eastern Africa,1974,-0.339,0.399
Eastern Africa,1974,-0.281,0.451
Eastern Africa,1974,-0.148,0.369
Eastern Africa,1974,-0.132,0.353
Eastern Africa,1974,0.176,0.349
Eastern Africa,1974,-0.572,0.346
Eastern Africa,1974,-0.088,0.371
Eastern Africa,1974,-0.084,0.304
Eastern Africa,1974,-0.166,0.378
Middle Africa,1974,-0.371,0.418
Middle Africa,1974,0.084,0.506
Middle Africa,1974,-0.152,0.355
Middle Africa,1974,0.022,0.317
Middle Africa,1974,-0.419,0.291
Middle Africa,1974,0.035,0.26
Middle Africa,1974,-0.332,0.327
Middle Africa,1974,0.177,0.295
Middle Africa,1974,-0.227,0.33
Middle Africa,1974,0.035,0.27
Middle Africa,1974,0.005,0.301
Middle Africa,1974,-0.62,0.401
Northern Africa,1974,-0.439,0.767
Northern Africa,1974,-0.428,0.804
Northern Africa,1974,-0.173,0.79
Northern Africa,1974,-0.2,0.395
Northern Africa,1974,0.03,0.506
Northern Africa,1974,0.166,0.308
Northern Africa,1974,-0.611,0.419
Northern Africa,1974,-0.319,0.312
Northern Africa,1974,-0.267,0.368
Northern Africa,1974,-0.227,0.45
Northern Africa,1974,-0.727,0.624
Northern Africa,1974,-0.887,0.642
Southern Africa,1974,-0.702,0.706
Southern Africa,1974,-0.505,0.624
Southern Africa,1974,-0.684,0.753
Southern Africa,1974,-0.505,0.617
Southern Africa,1974,-0.424,0.409
Southern Africa,1974,0.226,0.852
Southern Africa,1974,-0.013,0.572
Southern Africa,1974,-0.881,0.61
Southern Africa,1974,-0.936,0.621
Southern Africa,1974,-0.135,0.685
Southern Africa,1974,-0.58,0.585
Southern Africa,1974,-0.4,0.58
Western Africa,1974,-1.059,0.915
Western Africa,1974,-0.763,0.781
Western Africa,1974,-0.398,0.701
Western Africa,1974,-0.132,0.498
Western Africa,1974,0.084,0.425
Western Africa,1974,0.585,0.44
Western Africa,1974,-0.267,0.446
Western Africa,1974,0.166,0.51
Western Africa,1974,0.018,0.478
Western Africa,1974,-0.143,0.424
Western Africa,1974,-0.449,0.437
Western Africa,1974,-0.961,0.57
Northern America,1974,-1.03,0.948
Northern America,1974,-0.803,1.621
Northern America,1974,-0.694,1.087
Northern America,1974,-0.523,0.825
Northern America,1974,-0.484,0.519
Northern America,1974,0.085,0.429
Northern America,1974,0.172,0.366
Northern America,1974,-0.457,0.38
Northern America,1974,-0.998,0.602
Northern America,1974,-1.093,0.936
Northern America,1974,0.548,0.627
Northern America,1974,0.995,1.326
Central America,1974,0.885,0.595
Central America,1974,-0.226,0.52
Central America,1974,0.593,0.643
Central America,1974,0.048,0.461
Central America,1974,0.242,0.325
Central America,1974,-0.026,0.403
Central America,1974,-0.622,0.488
Central America,1974,-0.158,0.385
Central America,1974,-0.653,0.403
Central America,1974,-0.627,0.469
Central America,1974,-0.334,0.566
Central America,1974,-0.439,0.513
South America,1974,-0.262,0.263
South America,1974,-0.442,0.326
South America,1974,-0.235,0.414
South America,1974,0.029,0.418
South America,1974,0.083,0.479
South America,1974,-0.207,0.564
South America,1974,-0.035,0.495
South America,1974,-0.184,0.39
South America,1974,-0.453,0.334
South America,1974,-0.301,0.335
South America,1974,-0.2,0.315
South America,1974,-0.544,0.272
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Central Asia,1974,,
Eastern Asia,1974,0.518,1.045
Eastern Asia,1974,-0.757,1.725
Eastern Asia,1974,-0.831,1.077
Eastern Asia,1974,0.977,0.683
Eastern Asia,1974,0.46,0.467
Eastern Asia,1974,-0.372,0.366
Eastern Asia,1974,0.034,0.303
Eastern Asia,1974,-0.16,0.42
Eastern Asia,1974,-0.292,0.482
Eastern Asia,1974,-0.624,0.524
Eastern Asia,1974,0.447,1.088
Eastern Asia,1974,-1.877,1.24
Southern Asia,1974,-0.79,0.962
Southern Asia,1974,-1.749,1.265
Southern Asia,1974,0.771,0.867
Southern Asia,1974,0.434,0.796
Southern Asia,1974,-0.064,0.556
Southern Asia,1974,-0.144,0.323
Southern Asia,1974,-0.091,0.247
Southern Asia,1974,-0.059,0.244
Southern Asia,1974,0.112,0.243
Southern Asia,1974,-0.486,0.524
Southern Asia,1974,0.029,0.642
Southern Asia,1974,-1.122,0.705
South-Eastern Asia,1974,-0.575,0.567
South-Eastern Asia,1974,-0.499,0.456
South-Eastern Asia,1974,-0.479,0.381
South-Eastern Asia,1974,-0.441,0.349
South-Eastern Asia,1974,-0.289,0.25
South-Eastern Asia,1974,-0.114,0.22
South-Eastern Asia,1974,-0.093,0.2
South-Eastern Asia,1974,0.102,0.162
South-Eastern Asia,1974,-0.017,0.143
South-Eastern Asia,1974,0.098,0.178
South-Eastern Asia,1974,0.124,0.368
South-Eastern Asia,1974,0.109,0.465
Western Asia,1974,-1.37,1.179
Western Asia,1974,-0.745,1.261
Western Asia,1974,0.12,0.935
Western Asia,1974,-0.223,0.759
Western Asia,1974,-0.134,0.572
Western Asia,1974,0.133,0.539
Western Asia,1974,-0.217,0.474
Western Asia,1974,-0.253,0.568
Western Asia,1974,-0.315,0.585
Western Asia,1974,0.81,0.653
Western Asia,1974,0.191,0.934
Western Asia,1974,-0.754,0.997
Eastern Europe,1974,-1.04,1.94
Eastern Europe,1974,0.036,1.869
Eastern Europe,1974,1.213,1.375
Eastern Europe,1974,-0.712,0.866
Eastern Europe,1974,-0.128,0.642
Eastern Europe,1974,-0.225,0.638
Eastern Europe,1974,-0.6,0.539
Eastern Europe,1974,-0.786,0.453
Eastern Europe,1974,0.106,0.576
Eastern Europe,1974,1.251,0.86
Eastern Europe,1974,0.832,0.88
Eastern Europe,1974,0.197,1.055
Northern Europe,1974,3.57,2.461
Northern Europe,1974,3.903,2.643
Northern Europe,1974,1.978,1.93
Northern Europe,1974,1.362,0.923
Northern Europe,1974,-0.086,0.868
Northern Europe,1974,0.353,0.979
Northern Europe,1974,-0.309,0.914
Northern Europe,1974,-0.134,0.731
Northern Europe,1974,0.863,0.864
Northern Europe,1974,-0.931,1.259
Northern Europe,1974,0.399,1.449
Northern Europe,1974,2.569,2.186
Southern Europe,1974,1.224,0.843
Southern Europe,1974,0.834,1.294
Southern Europe,1974,0.268,1.0
Southern Europe,1974,-1.122,0.861
Southern Europe,1974,-0.464,0.719
Southern Europe,1974,-0.447,0.695
Southern Europe,1974,-0.028,0.453
Southern Europe,1974,0.362,0.729
Southern Europe,1974,-0.313,0.889
Southern Europe,1974,-2.389,0.94
Southern Europe,1974,-0.317,0.862
Southern Europe,1974,0.176,0.883
Western Europe,1974,3.29,2.053
Western Europe,1974,2.047,2.145
Western Europe,1974,1.465,1.577
Western Europe,1974,0.276,1.194
Western Europe,1974,-0.657,0.873
Western Europe,1974,-0.736,1.019
Western Europe,1974,-0.839,1.099
Western Europe,1974,0.842,0.908
Western Europe,1974,-0.621,1.174
Western Europe,1974,-3.848,1.45
Western Europe,1974,0.565,1.098
Western Europe,1974,2.95,1.828
Australia and New Zealand,1974,-0.73,0.654
Australia and New Zealand,1974,-0.852,0.511
Australia and New Zealand,1974,0.164,0.514
Australia and New Zealand,1974,-0.335,0.467
Australia and New Zealand,1974,-0.061,0.691
Australia and New Zealand,1974,-0.676,0.601
Australia and New Zealand,1974,0.414,0.76
Australia and New Zealand,1974,0.302,0.608
Australia and New Zealand,1974,-0.396,0.752
Australia and New Zealand,1974,-0.619,0.833
Australia and New Zealand,1974,-1.06,0.631
Australia and New Zealand,1974,-0.185,0.708
Antarctica,1975,0.298,1.24
Antarctica,1975,0.629,1.084
Antarctica,1975,1.603,1.156
Antarctica,1975,-0.877,1.868
Antarctica,1975,2.783,1.704
Antarctica,1975,-2.234,1.929
Antarctica,1975,-1.361,1.801
Antarctica,1975,-1.906,2.216
Antarctica,1975,-0.856,2.058
Antarctica,1975,1.001,1.344
Antarctica,1975,0.519,1.124
Antarctica,1975,0.338,1.161
South Africa,1975,-0.348,0.637
South Africa,1975,-0.32,0.583
South Africa,1975,-1.142,0.625
South Africa,1975,-0.285,0.64
South Africa,1975,-0.033,0.483
South Africa,1975,0.727,0.788
South Africa,1975,-0.133,0.656
South Africa,1975,-0.325,0.65
South Africa,1975,1.184,0.742
South Africa,1975,-0.773,0.762
South Africa,1975,-0.311,0.657
South Africa,1975,-1.191,0.701
Africa,1975,-0.675,0.488
Africa,1975,-0.094,0.483
Africa,1975,-0.183,0.484
Africa,1975,0.097,0.316
Africa,1975,-0.061,0.341
Africa,1975,-0.041,0.292
Africa,1975,-0.12,0.313
Africa,1975,-0.301,0.303
Africa,1975,-0.137,0.304
Africa,1975,-0.351,0.304
Africa,1975,-0.24,0.314
Africa,1975,-0.022,0.353
Eastern Africa,1975,-0.107,0.345
Eastern Africa,1975,0.095,0.338
Eastern Africa,1975,-0.075,0.363
Eastern Africa,1975,0.098,0.399
Eastern Africa,1975,0.199,0.451
Eastern Africa,1975,-0.108,0.369
Eastern Africa,1975,0.108,0.353
Eastern Africa,1975,-0.614,0.349
Eastern Africa,1975,-0.257,0.346
Eastern Africa,1975,-0.716,0.371
Eastern Africa,1975,0.07,0.304
Eastern Africa,1975,-0.128,0.378
Middle Africa,1975,-0.599,0.418
Middle Africa,1975,0.292,0.506
Middle Africa,1975,0.064,0.355
Middle Africa,1975,0.128,0.317
Middle Africa,1975,0.229,0.291
Middle Africa,1975,0.177,0.26
Middle Africa,1975,-0.084,0.327
Middle Africa,1975,-0.362,0.295
Middle Africa,1975,-0.316,0.33
Middle Africa,1975,-0.262,0.27
Middle Africa,1975,0.068,0.301
Middle Africa,1975,-0.474,0.401
Northern Africa,1975,-0.717,0.767
Northern Africa,1975,-0.125,0.804
Northern Africa,1975,-0.206,0.79
Northern Africa,1975,0.194,0.395
Northern Africa,1975,-0.372,0.506
Northern Africa,1975,-0.624,0.308
Northern Africa,1975,-0.151,0.419
Northern Africa,1975,-0.413,0.312
Northern Africa,1975,-0.149,0.368
Northern Africa,1975,-0.263,0.45
Northern Africa,1975,-0.592,0.624
Northern Africa,1975,0.16,0.642
Southern Africa,1975,-0.301,0.706
Southern Africa,1975,-0.118,0.624
Southern Africa,1975,-0.987,0.753
Southern Africa,1975,-0.432,0.617
Southern Africa,1975,0.064,0.409
Southern Africa,1975,0.62,0.852
Southern Africa,1975,-0.006,0.572
Southern Africa,1975,-0.395,0.61
Southern Africa,1975,0.989,0.621
Southern Africa,1975,-0.61,0.685
Southern Africa,1975,-0.038,0.585
Southern Africa,1975,-0.846,0.58
Western Africa,1975,-1.444,0.915
Western Africa,1975,-0.65,0.781
Western Africa,1975,-0.178,0.701
Western Africa,1975,0.155,0.498
Western Africa,1975,-0.265,0.425
Western Africa,1975,0.314,0.44
Western Africa,1975,-0.398,0.446
Western Africa,1975,0.286,0.51
Western Africa,1975,-0.293,0.478
Western Africa,1975,-0.076,0.424
Western Africa,1975,-0.489,0.437
Western Africa,1975,0.678,0.57
Northern America,1975,-0.311,0.948
Northern America,1975,-0.488,1.621
Northern America,1975,-0.975,1.087
Northern America,1975,-1.042,0.825
Northern America,1975,0.667,0.519
Northern America,1975,0.41,0.429
Northern America,1975,0.516,0.366
Northern America,1975,-0.173,0.38
Northern America,1975,-0.422,0.602
Northern America,1975,0.11,0.936
Northern America,1975,-0.392,0.627
Northern America,1975,-0.666,1.326
Central America,1975,-0.02,0.595
Central America,1975,0.089,0.52
Central America,1975,0.421,0.643
Central America,1975,-0.153,0.461
Central America,1975,-0.135,0.325
Central America,1975,-0.16,0.403
Central America,1975,-0.742,0.488
Central America,1975,-0.435,0.385
Central America,1975,-0.861,0.403
Central America,1975,-0.448,0.469
Central America,1975,-0.056,0.566
Central America,1975,-0.412,0.513
South America,1975,-0.183,0.263
South America,1975,-0.032,0.326
South America,1975,0.006,0.414
South America,1975,0.125,0.418
South America,1975,-0.103,0.479
South America,1975,0.455,0.564
South America,1975,-0.785,0.495
South America,1975,-0.186,0.39
South America,1975,-0.026,0.334
South America,1975,-0.111,0.335
South America,1975,-0.399,0.315
South America,1975,-0.137,0.272
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Central Asia,1975,,
Eastern Asia,1975,1.232,1.045
Eastern Asia,1975,0.838,1.725
Eastern Asia,1975,1.102,1.077
Eastern Asia,1975,0.312,0.683
Eastern Asia,1975,-0.673,0.467
Eastern Asia,1975,0.186,0.366
Eastern Asia,1975,-0.196,0.303
Eastern Asia,1975,0.592,0.42
Eastern Asia,1975,1.032,0.482
Eastern Asia,1975,0.761,0.524
Eastern Asia,1975,0.389,1.088
Eastern Asia,1975,-1.345,1.24
Southern Asia,1975,-0.602,0.962
Southern Asia,1975,-0.552,1.265
Southern Asia,1975,-0.453,0.867
Southern Asia,1975,0.248,0.796
Southern Asia,1975,0.44,0.556
Southern Asia,1975,-0.1,0.323
Southern Asia,1975,-0.169,0.247
Southern Asia,1975,0.002,0.244
Southern Asia,1975,-0.234,0.243
Southern Asia,1975,-0.132,0.524
Southern Asia,1975,-1.18,0.642
Southern Asia,1975,-0.681,0.705
South-Eastern Asia,1975,0.326,0.567
South-Eastern Asia,1975,0.142,0.456
South-Eastern Asia,1975,0.238,0.381
South-Eastern Asia,1975,0.232,0.349
South-Eastern Asia,1975,-0.22,0.25
South-Eastern Asia,1975,-0.205,0.22
South-Eastern Asia,1975,-0.102,0.2
South-Eastern Asia,1975,0.127,0.162
South-Eastern Asia,1975,-0.069,0.143
South-Eastern Asia,1975,-0.013,0.178
South-Eastern Asia,1975,-0.365,0.368
South-Eastern Asia,1975,-1.02,0.465
Western Asia,1975,-0.567,1.179
Western Asia,1975,-0.613,1.261
Western Asia,1975,-0.208,0.935
Western Asia,1975,0.353,0.759
Western Asia,1975,-0.071,0.572
Western Asia,1975,-0.129,0.539
Western Asia,1975,0.389,0.474
Western Asia,1975,-0.355,0.568
Western Asia,1975,0.759,0.585
Western Asia,1975,-0.889,0.653
Western Asia,1975,-0.461,0.934
Western Asia,1975,-1.115,0.997
Eastern Europe,1975,2.704,1.94
Eastern Europe,1975,0.691,1.869
Eastern Europe,1975,1.875,1.375
Eastern Europe,1975,1.844,0.866
Eastern Europe,1975,1.164,0.642
Eastern Europe,1975,0.966,0.638
Eastern Europe,1975,1.152,0.539
Eastern Europe,1975,0.603,0.453
Eastern Europe,1975,1.305,0.576
Eastern Europe,1975,-0.374,0.86
Eastern Europe,1975,-1.755,0.88
Eastern Europe,1975,0.184,1.055
Northern Europe,1975,3.225,2.461
Northern Europe,1975,3.463,2.643
Northern Europe,1975,1.903,1.93
Northern Europe,1975,0.009,0.923
Northern Europe,1975,0.675,0.868
Northern Europe,1975,-1.153,0.979
Northern Europe,1975,0.236,0.914
Northern Europe,1975,0.965,0.731
Northern Europe,1975,0.743,0.864
Northern Europe,1975,0.47,1.259
Northern Europe,1975,1.298,1.449
Northern Europe,1975,1.494,2.186
Southern Europe,1975,1.077,0.843
Southern Europe,1975,-0.012,1.294
Southern Europe,1975,-0.108,1.0
Southern Europe,1975,-0.105,0.861
Southern Europe,1975,-0.411,0.719
Southern Europe,1975,-0.634,0.695
Southern Europe,1975,0.361,0.453
Southern Europe,1975,-0.073,0.729
Southern Europe,1975,0.344,0.889
Southern Europe,1975,0.038,0.94
Southern Europe,1975,-0.722,0.862
Southern Europe,1975,-0.654,0.883
Western Europe,1975,3.823,2.053
Western Europe,1975,1.365,2.145
Western Europe,1975,-0.502,1.577
Western Europe,1975,-0.307,1.194
Western Europe,1975,-0.359,0.873
Western Europe,1975,-0.563,1.019
Western Europe,1975,0.94,1.099
Western Europe,1975,1.885,0.908
Western Europe,1975,1.33,1.174
Western Europe,1975,-1.07,1.45
Western Europe,1975,-0.564,1.098
Western Europe,1975,-0.604,1.828
Australia and New Zealand,1975,-0.464,0.654
Australia and New Zealand,1975,-0.08,0.511
Australia and New Zealand,1975,-0.502,0.514
Australia and New Zealand,1975,-0.219,0.467
Australia and New Zealand,1975,0.657,0.691
Australia and New Zealand,1975,-0.206,0.601
Australia and New Zealand,1975,1.79,0.76
Australia and New Zealand,1975,0.189,0.608
Australia and New Zealand,1975,0.995,0.752
Australia and New Zealand,1975,-1.154,0.833
Australia and New Zealand,1975,0.122,0.631
Australia and New Zealand,1975,-0.186,0.708
Antarctica,1976,0.32,1.24
Antarctica,1976,-0.004,1.084
Antarctica,1976,0.115,1.156
Antarctica,1976,-2.278,1.868
Antarctica,1976,-1.751,1.704
Antarctica,1976,-0.826,1.929
Antarctica,1976,-0.266,1.801
Antarctica,1976,-3.233,2.216
Antarctica,1976,-0.442,2.058
Antarctica,1976,-0.349,1.344
Antarctica,1976,0.766,1.124
Antarctica,1976,1.925,1.161
South Africa,1976,-0.71,0.637
South Africa,1976,-0.757,0.583
South Africa,1976,-0.608,0.625
South Africa,1976,-0.022,0.64
South Africa,1976,0.043,0.483
South Africa,1976,-0.139,0.788
South Africa,1976,-0.37,0.656
South Africa,1976,-0.811,0.65
South Africa,1976,0.532,0.742
South Africa,1976,-0.627,0.762
South Africa,1976,-1.6,0.657
South Africa,1976,-0.039,0.701
Africa,1976,-0.596,0.488
Africa,1976,-0.495,0.483
Africa,1976,-0.634,0.484
Africa,1976,-0.384,0.316
Africa,1976,-0.345,0.341
Africa,1976,-0.205,0.292
Africa,1976,-0.16,0.313
Africa,1976,-0.235,0.303
Africa,1976,0.095,0.304
Africa,1976,0.032,0.304
Africa,1976,-0.171,0.314
Africa,1976,0.584,0.353
Eastern Africa,1976,-0.202,0.345
Eastern Africa,1976,-0.119,0.338
Eastern Africa,1976,-0.008,0.363
Eastern Africa,1976,-0.256,0.399
Eastern Africa,1976,-0.289,0.451
Eastern Africa,1976,0.069,0.369
Eastern Africa,1976,-0.093,0.353
Eastern Africa,1976,-0.37,0.349
Eastern Africa,1976,0.065,0.346
Eastern Africa,1976,0.061,0.371
Eastern Africa,1976,0.503,0.304
Eastern Africa,1976,0.633,0.378
Middle Africa,1976,-0.095,0.418
Middle Africa,1976,-0.057,0.506
Middle Africa,1976,-0.271,0.355
Middle Africa,1976,-0.259,0.317
Middle Africa,1976,-0.203,0.291
Middle Africa,1976,-0.214,0.26
Middle Africa,1976,-0.146,0.327
Middle Africa,1976,-0.204,0.295
Middle Africa,1976,0.258,0.33
Middle Africa,1976,0.198,0.27
Middle Africa,1976,-0.127,0.301
Middle Africa,1976,0.287,0.401
Northern Africa,1976,-0.979,0.767
Northern Africa,1976,-1.142,0.804
Northern Africa,1976,-1.038,0.79
Northern Africa,1976,-0.642,0.395
Northern Africa,1976,-0.501,0.506
Northern Africa,1976,-0.427,0.308
Northern Africa,1976,-0.262,0.419
Northern Africa,1976,-0.302,0.312
Northern Africa,1976,-0.112,0.368
Northern Africa,1976,0.253,0.45
Northern Africa,1976,-0.505,0.624
Northern Africa,1976,1.172,0.642
Southern Africa,1976,-0.969,0.706
Southern Africa,1976,-1.019,0.624
Southern Africa,1976,-0.812,0.753
Southern Africa,1976,-0.269,0.617
Southern Africa,1976,-0.314,0.409
Southern Africa,1976,-0.031,0.852
Southern Africa,1976,-0.51,0.572
Southern Africa,1976,-0.823,0.61
Southern Africa,1976,0.058,0.621
Southern Africa,1976,-0.822,0.685
Southern Africa,1976,-0.818,0.585
Southern Africa,1976,0.185,0.58
Western Africa,1976,-0.85,0.915
Western Africa,1976,-0.23,0.781
Western Africa,1976,-1.038,0.701
Western Africa,1976,-0.343,0.498
Western Africa,1976,-0.352,0.425
Western Africa,1976,-0.246,0.44
Western Africa,1976,0.05,0.446
Western Africa,1976,0.218,0.51
Western Africa,1976,0.252,0.478
Western Africa,1976,-0.114,0.424
Western Africa,1976,-0.166,0.437
Western Africa,1976,0.21,0.57
Northern America,1976,0.381,0.948
Northern America,1976,0.721,1.621
Northern America,1976,-0.272,1.087
Northern America,1976,1.328,0.825
Northern America,1976,-0.067,0.519
Northern America,1976,-0.07,0.429
Northern America,1976,-0.145,0.366
Northern America,1976,-0.24,0.38
Northern America,1976,0.363,0.602
Northern America,1976,-1.422,0.936
Northern America,1976,-0.166,0.627
Northern America,1976,-1.04,1.326
Central America,1976,-0.541,0.595
Central America,1976,0.284,0.52
Central America,1976,0.338,0.643
Central America,1976,-0.516,0.461
Central America,1976,-0.51,0.325
Central America,1976,-0.201,0.403
Central America,1976,-0.859,0.488
Central America,1976,-0.297,0.385
Central America,1976,-0.293,0.403
Central America,1976,-0.788,0.469
Central America,1976,-1.072,0.566
Central America,1976,-0.372,0.513
South America,1976,-0.281,0.263
South America,1976,-0.363,0.326
South America,1976,-0.799,0.414
South America,1976,-0.31,0.418
South America,1976,-0.033,0.479
South America,1976,-0.263,0.564
South America,1976,0.08,0.495
South America,1976,0.026,0.39
South America,1976,-0.363,0.334
South America,1976,-0.133,0.335
South America,1976,-0.026,0.315
South America,1976,0.046,0.272
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Central Asia,1976,,
Eastern Asia,1976,1.081,1.045
Eastern Asia,1976,2.528,1.725
Eastern Asia,1976,-0.901,1.077
Eastern Asia,1976,-0.755,0.683
Eastern Asia,1976,-0.144,0.467
Eastern Asia,1976,-0.753,0.366
Eastern Asia,1976,-0.904,0.303
Eastern Asia,1976,-0.906,0.42
Eastern Asia,1976,-0.223,0.482
Eastern Asia,1976,-0.076,0.524
Eastern Asia,1976,-2.039,1.088
Eastern Asia,1976,-0.62,1.24
Southern Asia,1976,0.604,0.962
Southern Asia,1976,-0.688,1.265
Southern Asia,1976,-1.12,0.867
Southern Asia,1976,-0.618,0.796
Southern Asia,1976,-0.197,0.556
Southern Asia,1976,-0.518,0.323
Southern Asia,1976,0.01,0.247
Southern Asia,1976,-0.238,0.244
Southern Asia,1976,0.022,0.243
Southern Asia,1976,0.471,0.524
Southern Asia,1976,0.378,0.642
Southern Asia,1976,0.238,0.705
South-Eastern Asia,1976,-0.806,0.567
South-Eastern Asia,1976,-0.107,0.456
South-Eastern Asia,1976,-0.18,0.381
South-Eastern Asia,1976,-0.18,0.349
South-Eastern Asia,1976,-0.305,0.25
South-Eastern Asia,1976,-0.084,0.22
South-Eastern Asia,1976,0.031,0.2
South-Eastern Asia,1976,-0.028,0.162
South-Eastern Asia,1976,0.215,0.143
South-Eastern Asia,1976,0.125,0.178
South-Eastern Asia,1976,-0.204,0.368
South-Eastern Asia,1976,0.092,0.465
Western Asia,1976,-0.322,1.179
Western Asia,1976,-1.506,1.261
Western Asia,1976,-1.318,0.935
Western Asia,1976,-0.441,0.759
Western Asia,1976,-0.379,0.572
Western Asia,1976,-0.136,0.539
Western Asia,1976,-0.688,0.474
Western Asia,1976,-0.451,0.568
Western Asia,1976,-0.344,0.585
Western Asia,1976,0.647,0.653
Western Asia,1976,0.047,0.934
Western Asia,1976,1.264,0.997
Eastern Europe,1976,1.489,1.94
Eastern Europe,1976,-3.002,1.869
Eastern Europe,1976,-1.966,1.375
Eastern Europe,1976,0.395,0.866
Eastern Europe,1976,-0.274,0.642
Eastern Europe,1976,-0.846,0.638
Eastern Europe,1976,-0.328,0.539
Eastern Europe,1976,0.204,0.453
Eastern Europe,1976,-0.441,0.576
Eastern Europe,1976,-2.428,0.86
Eastern Europe,1976,-0.729,0.88
Eastern Europe,1976,-0.558,1.055
Northern Europe,1976,-1.696,2.461
Northern Europe,1976,1.797,2.643
Northern Europe,1976,-1.098,1.93
Northern Europe,1976,-0.006,0.923
Northern Europe,1976,1.009,0.868
Northern Europe,1976,-0.296,0.979
Northern Europe,1976,0.32,0.914
Northern Europe,1976,0.492,0.731
Northern Europe,1976,-1.625,0.864
Northern Europe,1976,-1.117,1.259
Northern Europe,1976,0.017,1.449
Northern Europe,1976,-1.56,2.186
Southern Europe,1976,-0.177,0.843
Southern Europe,1976,-0.093,1.294
Southern Europe,1976,-0.843,1.0
Southern Europe,1976,-0.671,0.861
Southern Europe,1976,0.099,0.719
Southern Europe,1976,0.622,0.695
Southern Europe,1976,0.024,0.453
Southern Europe,1976,-1.345,0.729
Southern Europe,1976,-1.47,0.889
Southern Europe,1976,-0.337,0.94
Southern Europe,1976,-0.754,0.862
Southern Europe,1976,0.28,0.883
Western Europe,1976,1.274,2.053
Western Europe,1976,0.591,2.145
Western Europe,1976,-1.201,1.577
Western Europe,1976,-0.319,1.194
Western Europe,1976,0.927,0.873
Western Europe,1976,2.336,1.019
Western Europe,1976,1.965,1.099
Western Europe,1976,0.12,0.908
Western Europe,1976,-0.905,1.174
Western Europe,1976,0.565,1.45
Western Europe,1976,0.124,1.098
Western Europe,1976,-1.403,1.828
Australia and New Zealand,1976,-1.293,0.654
Australia and New Zealand,1976,-0.543,0.511
Australia and New Zealand,1976,-0.324,0.514
Australia and New Zealand,1976,-0.456,0.467
Australia and New Zealand,1976,-0.354,0.691
Australia and New Zealand,1976,-0.538,0.601
Australia and New Zealand,1976,0.18,0.76
Australia and New Zealand,1976,-0.344,0.608
Australia and New Zealand,1976,-0.416,0.752
Australia and New Zealand,1976,-1.065,0.833
Australia and New Zealand,1976,-0.674,0.631
Australia and New Zealand,1976,0.732,0.708
Antarctica,1977,2.343,1.24
Antarctica,1977,-1.022,1.084
Antarctica,1977,-0.026,1.156
Antarctica,1977,-0.627,1.868
Antarctica,1977,2.451,1.704
Antarctica,1977,1.498,1.929
Antarctica,1977,2.749,1.801
Antarctica,1977,1.086,2.216
Antarctica,1977,-2.912,2.058
Antarctica,1977,-2.992,1.344
Antarctica,1977,-1.472,1.124
Antarctica,1977,-0.872,1.161
South Africa,1977,0.366,0.637
South Africa,1977,0.667,0.583
South Africa,1977,-0.959,0.625
South Africa,1977,1.072,0.64
South Africa,1977,-0.746,0.483
South Africa,1977,0.374,0.788
South Africa,1977,-0.207,0.656
South Africa,1977,-0.097,0.65
South Africa,1977,0.163,0.742
South Africa,1977,0.573,0.762
South Africa,1977,0.657,0.657
